date_id;_Year;_Quarter;_Month;_DayofMonth;_DayOfWeek;_FlightDate
1;2019;4;12;31;2;10-06-0037
2;2019;4;12;1;7;11-06-0007
3;2019;4;12;4;3;11-06-0010
4;2019;4;12;5;4;11-06-0011
5;2019;4;12;6;5;10-06-0012
6;2019;4;12;7;6;10-06-0013
7;2019;4;12;8;7;11-06-0014
8;2019;4;12;9;1;11-06-0015
9;2019;4;12;10;2;10-06-0016
10;2019;4;12;11;3;10-06-0017
11;2019;4;12;12;4;11-06-0018
12;2019;4;12;13;5;11-06-0019
13;2019;4;12;14;6;10-06-0020
14;2019;4;12;15;7;10-06-0021
15;2019;4;12;16;1;11-06-0022
16;2019;4;12;17;2;11-06-0023
17;2019;4;12;18;3;10-06-0024
18;2019;4;12;19;4;10-06-0025
19;2019;4;12;20;5;11-06-0026
20;2019;4;12;21;6;11-06-0027
21;2019;4;12;22;7;10-06-0028
22;2019;4;12;23;1;10-06-0029
23;2019;4;12;24;2;11-06-0030
24;2019;4;12;25;3;11-06-0031
25;2019;4;12;26;4;10-06-0032
26;2019;4;12;27;5;10-06-0033
27;2019;4;12;28;6;11-06-0034
28;2019;4;12;29;7;11-06-0035
29;2019;4;12;30;1;10-06-0036
30;2019;4;12;2;1;10-06-0008
31;2019;4;12;3;2;10-06-0009
